"path","relative_path","name","extension","bytes","last_write_time","classification","lane","lineage_hint","sha256"
"C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\.ai\triggers\003_gemini_audit_required.trigger.json",".ai\triggers\003_gemini_audit_required.trigger.json","003_gemini_audit_required.trigger.json",".json","2264","2026-05-01T06:41:41","REVIEW","DCSE-CP","Root project/source lineage","3D2F36CCA888A13338EBDAD5E544A48FF3D19839D7DCBC80836C0164F1EA6BFB"
"C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\.ai\triggers\004_dcs_authorization_required.trigger.json",".ai\triggers\004_dcs_authorization_required.trigger.json","004_dcs_authorization_required.trigger.json",".json","4124","2026-05-01T06:50:38","REVIEW","DCSE-CP","Root project/source lineage","76CC5E684D03B6556F3B3556AAF298A132C789AD44C555676DA731EAB4361BD1"
"C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\.ai\triggers\005_governance_stop_gate_patch_required.trigger.json",".ai\triggers\005_governance_stop_gate_patch_required.trigger.json","005_governance_stop_gate_patch_required.trigger.json",".json","2065","2026-05-01T06:40:32","REVIEW","DCSE-CP","Root project/source lineage","81AD4A2FEEC03CB0B17383C1597E9F76E2735436395CD3A428AB4F5A327AFEE4"
"C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\.ai\triggers\006_controlled_execution_plan_required.trigger.json",".ai\triggers\006_controlled_execution_plan_required.trigger.json","006_controlled_execution_plan_required.trigger.json",".json","1673","2026-05-11T23:39:48","REVIEW","DCSE-CP","Root project/source lineage","B50012EB48D1542216906549EA78CAA5C1CDB6C94A442560E000498B0C0DC5A2"
"C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\.ai\triggers\006_phase2a_vector_schema_test_required.trigger.json",".ai\triggers\006_phase2a_vector_schema_test_required.trigger.json","006_phase2a_vector_schema_test_required.trigger.json",".json","5165","2026-05-01T06:54:41","REVIEW","DCSE-SS/SC","Prior staged review/artifact lineage","0E07DCCEC7634B08A398F70C74C067FF5B31A53C162F8F55BC95814566A05127"
"C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\.ai\triggers\007_dcs_phase2b_authorization_required.trigger.json",".ai\triggers\007_dcs_phase2b_authorization_required.trigger.json","007_dcs_phase2b_authorization_required.trigger.json",".json","1792","2026-05-01T06:58:27","REVIEW","DCSE-CP","Prior staged review/artifact lineage","CA439429D576068A35A95E4929264A86D2B50833FB835583715EB0E5FD1E2AD8"
"C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\.ai\triggers\007a_vector_runtime_validation_required.trigger.json",".ai\triggers\007a_vector_runtime_validation_required.trigger.json","007a_vector_runtime_validation_required.trigger.json",".json","5456","2026-05-01T07:05:13","REVIEW","DCSE-CP","Root project/source lineage","3C91629FA0BB98389CFE22A59EB94D1396A483BE7D148E3CF117505FFF77AA56"
"C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\.ai\triggers\008_dcs_phase2b_authorization_required.trigger.json",".ai\triggers\008_dcs_phase2b_authorization_required.trigger.json","008_dcs_phase2b_authorization_required.trigger.json",".json","1846","2026-05-01T07:05:13","REVIEW","DCSE-CP","Prior staged review/artifact lineage","075FCA466AEBD98120EC3B0373138BFA01E18CAE70C88083C64D12FC0CCC8DC7"
"C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\.ai\triggers\claude_project_lane_leakage_review.trigger.json",".ai\triggers\claude_project_lane_leakage_review.trigger.json","claude_project_lane_leakage_review.trigger.json",".json","698","2026-05-07T15:17:53","REVIEW","DCSE-CP","Prior staged review/artifact lineage","0F479C4476D55E9BE7E4CF8AC10AD361D02E4DFACE593EB03F5AC1EBA66BB177"
"C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\.ai\triggers\knowledge_source_lane_leakage_review.trigger.json",".ai\triggers\knowledge_source_lane_leakage_review.trigger.json","knowledge_source_lane_leakage_review.trigger.json",".json","862","2026-05-07T15:41:03","REVIEW","DCSE-CP","Prior staged review/artifact lineage","0C7C0AA851EF5961B68BCA7C027D64738550FDB685A03815A7995359E2DCE6E3"
"C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\.env",".env",".env",".env","433","2026-06-01T14:11:13","SUPPORT","DCSE-CP","Root project/source lineage","968734CF9058F59C756168BF161D6D3F0BB5410DAEE48DEFF823DCCE44648CBA"
"C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\.env.example",".env.example",".env.example",".example","821","2026-05-30T16:12:40","SUPPORT","DCSE-CP","Root project/source lineage","D8E639FA53C699624D8AE3F2DD7626E578CC57C4CE36BBFB33F927C55B5328DA"
"C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\.gitignore",".gitignore",".gitignore",".gitignore","146","2026-05-01T05:29:47","SUPPORT","DCSE-CP","Root project/source lineage","4D53F6C8D9692EC110D0E9840EF8B07911CD3A43B9DA8351F755F87AC1A8F9E2"
"C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\artifacts\phase2a_local_candidate_search.json","artifacts\phase2a_local_candidate_search.json","phase2a_local_candidate_search.json",".json","126139","2026-05-11T17:01:33","REVIEW","DCSE-CP","Prior staged review/artifact lineage","36DDDE1B24C42DB6FEDC31D4C3AC4FA14251C6FD70FD78BA7016C84B98E4CDFA"
"C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\artifacts\phase2a_manual_supabase_execution_packet\01_schema.sql","artifacts\phase2a_manual_supabase_execution_packet\01_schema.sql","01_schema.sql",".sql","2852","2026-05-11T21:25:13","REVIEW","DCSE-SS/SC","Prior staged review/artifact lineage","4A4D7BC794379D2F8DBC2C524C14AF3B797FE0D9F6E7B396945C74BB775A4764"
"C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\artifacts\phase2a_manual_supabase_execution_packet\02_insert_sources.sql","artifacts\phase2a_manual_supabase_execution_packet\02_insert_sources.sql","02_insert_sources.sql",".sql","3830","2026-05-11T21:25:23","REVIEW","DCSE-CP","Prior staged review/artifact lineage","CFEB8ADA26BD04DAE57536D33C8F4A17D5B59644AB5D280E1E803C4CA58DF3AF"
"C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\artifacts\phase2a_manual_supabase_execution_packet\03_verify_sources.sql","artifacts\phase2a_manual_supabase_execution_packet\03_verify_sources.sql","03_verify_sources.sql",".sql","1971","2026-05-11T21:25:27","REVIEW","DCSE-CP","Prior staged review/artifact lineage","6307ABBBA2350AB8CF731436630B4401C1E384BA2459161555326CE35418AD13"
"C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\artifacts\phase2a_manual_supabase_execution_packet_v2\01_create_kb_sources.sql","artifacts\phase2a_manual_supabase_execution_packet_v2\01_create_kb_sources.sql","01_create_kb_sources.sql",".sql","2387","2026-05-11T22:05:18","REVIEW","DCSE-CP","Prior staged review/artifact lineage","9A9D86F2C9C61098B200679DFEA13709D02C9E0056335E6693E7715CE813F531"
"C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\artifacts\phase2a_manual_supabase_execution_packet_v2\02_insert_kb_sources.sql","artifacts\phase2a_manual_supabase_execution_packet_v2\02_insert_kb_sources.sql","02_insert_kb_sources.sql",".sql","2797","2026-05-11T22:05:22","REVIEW","DCSE-CP","Prior staged review/artifact lineage","9AB3C1209396CBB49D0CBB7A8E9BAC78F3A867C554DE2BFCC0F95BAAF9F68C65"
"C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\artifacts\phase2a_manual_supabase_execution_packet_v2\03_verify_kb_sources.sql","artifacts\phase2a_manual_supabase_execution_packet_v2\03_verify_kb_sources.sql","03_verify_kb_sources.sql",".sql","1784","2026-05-11T22:05:24","REVIEW","DCSE-CP","Prior staged review/artifact lineage","2DAD4B9058EAFB498C66505D22955459DCE2F5876B67BB65867062AFF1807437"
"C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\artifacts\phase2a_manual_supabase_execution_packet_v2\04_schema_collision_report.md","artifacts\phase2a_manual_supabase_execution_packet_v2\04_schema_collision_report.md","04_schema_collision_report.md",".md","1871","2026-05-11T22:05:54","REVIEW","DCSE-SS/SC","Prior staged review/artifact lineage","F80EDD344D56C3C3628C1389D7090CF16405BD0C5842CD84BA45D89B4C2E2161"
"C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\artifacts\phase2a_manual_supabase_execution_packet_v2\phase2a_manual_execution_packet_v2_manifest.json","artifacts\phase2a_manual_supabase_execution_packet_v2\phase2a_manual_execution_packet_v2_manifest.json","phase2a_manual_execution_packet_v2_manifest.json",".json","995","2026-05-11T22:06:10","REVIEW","DCSE-CP","Prior staged review/artifact lineage","65DDD9B78E8BC56041B5F1D43EBD13F8E34B0805FFDDE03049FE549E5A96FBA7"
"C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\artifacts\phase2a_orchestrator_review_summary.md","artifacts\phase2a_orchestrator_review_summary.md","phase2a_orchestrator_review_summary.md",".md","732","2026-05-11T17:07:18","REVIEW","DCSE-CP","Prior staged review/artifact lineage","C0016BC0BA971286B43587C3123EBD7919B87A4BD1107DF95E39BF8E85E4427C"
"C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\artifacts\phase2a_pilot_corpus_for_orchestrator.zip","artifacts\phase2a_pilot_corpus_for_orchestrator.zip","phase2a_pilot_corpus_for_orchestrator.zip",".zip","15686","2026-05-11T17:04:18","REVIEW","DCSE-CP","Prior staged review/artifact lineage","A52DF247C181B8972F6E9205226499D4D243162423B198CDBE74979AA6855632"
"C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\artifacts\phase2a_pilot_corpus_for_orchestrator\.ai__handoffs__phase2a_to_dcs.json","artifacts\phase2a_pilot_corpus_for_orchestrator\.ai__handoffs__phase2a_to_dcs.json",".ai__handoffs__phase2a_to_dcs.json",".json","1965","2026-05-01T06:54:22","REVIEW","DCSE-CP","Prior staged review/artifact lineage","A1ADCA16C91D6B1674E72F84420F000F090C54A03AACE0DD9468858EDBB1C2F3"
"C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\artifacts\phase2a_pilot_corpus_for_orchestrator\.ai__handoffs__phase2a1_to_dcs.json","artifacts\phase2a_pilot_corpus_for_orchestrator\.ai__handoffs__phase2a1_to_dcs.json",".ai__handoffs__phase2a1_to_dcs.json",".json","1738","2026-05-01T07:03:11","REVIEW","DCSE-CP","Prior staged review/artifact lineage","E324C3BA567D16EEDE362841AF85C3E610C125FD661FDAEF36CACC402F3A42AE"
"C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\artifacts\phase2a_pilot_corpus_for_orchestrator\.ai__TRIGGER_HANDOFF_PROTOCOL.md","artifacts\phase2a_pilot_corpus_for_orchestrator\.ai__TRIGGER_HANDOFF_PROTOCOL.md",".ai__TRIGGER_HANDOFF_PROTOCOL.md",".md","3887","2026-05-01T06:29:46","REVIEW","DCSE-CP","Prior staged review/artifact lineage","67F525603CB5F04D238134112135648B5C1C5251C3CFAAE3562009D637E0E1F8"
"C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\artifacts\phase2a_pilot_corpus_for_orchestrator\DCSE_Command_Post_Prime_Layer__00_PACKAGE_MANIFEST.md","artifacts\phase2a_pilot_corpus_for_orchestrator\DCSE_Command_Post_Prime_Layer__00_PACKAGE_MANIFEST.md","DCSE_Command_Post_Prime_Layer__00_PACKAGE_MANIFEST.md",".md","2513","2026-05-01T04:47:08","REVIEW","DCSE-CP","Prior staged review/artifact lineage","9490C8FA04EF4E67FCA2FCAE2BE4F240273A9030C63E5E36EA12F43AE4967273"
"C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\artifacts\phase2a_pilot_corpus_for_orchestrator\DCSE_Command_Post_Prime_Layer__01_DCSE_v6_7_X_MASTER_ADDENDUM.md","artifacts\phase2a_pilot_corpus_for_orchestrator\DCSE_Command_Post_Prime_Layer__01_DCSE_v6_7_X_MASTER_ADDENDUM.md","DCSE_Command_Post_Prime_Layer__01_DCSE_v6_7_X_MASTER_ADDENDUM.md",".md","3741","2026-05-01T04:47:08","REVIEW","DCSE-CP","Prior staged review/artifact lineage","187BB51F1FBDD170027881F72CAC4D02614C53C1795A1D19207ACC51AF61DCF6"
"C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\artifacts\phase2a_pilot_corpus_for_orchestrator\DCSE_Command_Post_Prime_Layer__02_MODEL_CONFIGURATION_GUIDE.md","artifacts\phase2a_pilot_corpus_for_orchestrator\DCSE_Command_Post_Prime_Layer__02_MODEL_CONFIGURATION_GUIDE.md","DCSE_Command_Post_Prime_Layer__02_MODEL_CONFIGURATION_GUIDE.md",".md","3819","2026-05-01T04:47:08","REVIEW","DCSE-CP","Prior staged review/artifact lineage","58056309E7C79F5B0BCAABBCC53397611F8260621404636F3664A75664C21AF7"
"C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\artifacts\phase2a_pilot_corpus_for_orchestrator\DCSE_Command_Post_Prime_Layer__03_SKILL_REGISTRY.md","artifacts\phase2a_pilot_corpus_for_orchestrator\DCSE_Command_Post_Prime_Layer__03_SKILL_REGISTRY.md","DCSE_Command_Post_Prime_Layer__03_SKILL_REGISTRY.md",".md","2302","2026-05-01T04:47:08","REVIEW","DCSE-CP","Prior staged review/artifact lineage","193C50708AC8F22D0742C3F6CA35D71BDB6A5FD3D0EC5033A8A6528F70A5E4B2"
"C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\artifacts\phase2a_pilot_corpus_for_orchestrator\docs__audit__Phase2A_Vector_Test_Report.md","artifacts\phase2a_pilot_corpus_for_orchestrator\docs__audit__Phase2A_Vector_Test_Report.md","docs__audit__Phase2A_Vector_Test_Report.md",".md","3824","2026-05-01T06:54:22","REVIEW","DCSE-CP","Prior staged review/artifact lineage","2E2B4E6C76339BFCE6866DE9DF954CA5889FB727778829D1AF969736909AFAD2"
"C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\artifacts\phase2a_pilot_corpus_for_orchestrator\phase2a_pilot_corpus_export_report.json","artifacts\phase2a_pilot_corpus_for_orchestrator\phase2a_pilot_corpus_export_report.json","phase2a_pilot_corpus_export_report.json",".json","8648","2026-05-11T17:04:17","REVIEW","DCSE-CP","Prior staged review/artifact lineage","34D2A8AAF3F04D6500E8497F095701176749F4B545752876624B36CEF9290218"
"C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\artifacts\phase2a_pilot_corpus_for_orchestrator\project_manifest.json","artifacts\phase2a_pilot_corpus_for_orchestrator\project_manifest.json","project_manifest.json",".json","1224","2026-05-01T05:29:47","REVIEW","DCSE-CP","Prior staged review/artifact lineage","659B45212A8F3BA51782931C1A2BE56436B342A07898D56EB715719DC6C1BF70"
"C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\artifacts\phase2a_pilot_corpus_for_orchestrator\vector-memory__phase2a_test_corpus_manifest.json","artifacts\phase2a_pilot_corpus_for_orchestrator\vector-memory__phase2a_test_corpus_manifest.json","vector-memory__phase2a_test_corpus_manifest.json",".json","3655","2026-05-01T06:54:22","REVIEW","DCSE-CP","Prior staged review/artifact lineage","DF11F7327228B8D29953F7C6A2F79880A94CF69827F06862DC8C9B6966C5BFAB"
"C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\artifacts\phase2a1_closeout\phase2a1_next_phase_recommendation.md","artifacts\phase2a1_closeout\phase2a1_next_phase_recommendation.md","phase2a1_next_phase_recommendation.md",".md","1326","2026-05-11T22:19:53","REVIEW","DCSE-CP","Prior staged review/artifact lineage","A0CDADA5305493E877F05E7BEAAE2F86933B04A1CE19F33E49F54F3BDE0F84CC"
"C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\artifacts\phase2a1_closeout\phase2a1_source_registry_completion_report.json","artifacts\phase2a1_closeout\phase2a1_source_registry_completion_report.json","phase2a1_source_registry_completion_report.json",".json","877","2026-05-11T22:19:50","REVIEW","DCSE-CP","Prior staged review/artifact lineage","35422987EC818EC6B08F8E3170A5BC294D2B8AE157E7BD010F72AF4018E2F94B"
"C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\artifacts\phase2a1_closeout\phase2a1_source_registry_completion_report.md","artifacts\phase2a1_closeout\phase2a1_source_registry_completion_report.md","phase2a1_source_registry_completion_report.md",".md","1812","2026-05-11T22:19:45","REVIEW","DCSE-CP","Prior staged review/artifact lineage","896B1B3EE7A0609FEA0DC47A2E3D70817C35AE9D448DB2E2828FE4B0A34A066B"
"C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\artifacts\phase2a2_ai_review_handoff_manifest.json","artifacts\phase2a2_ai_review_handoff_manifest.json","phase2a2_ai_review_handoff_manifest.json",".json","2940","2026-05-11T22:30:14","REVIEW","DCSE-CP","Prior staged review/artifact lineage","897FAFE9C15FAB808E508DC22FB981A73FAF3D28EC6E57FDE4DB2A118F31193C"
"C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\artifacts\phase2a2_ai_review_handoff_manifest_v3.json","artifacts\phase2a2_ai_review_handoff_manifest_v3.json","phase2a2_ai_review_handoff_manifest_v3.json",".json","2247","2026-05-11T22:39:07","REVIEW","DCSE-CP","Prior staged review/artifact lineage","D30DB4FCA1B11B150BE990B9BD762260B83FD0E88DB8B508325D726D2EEB5E72"
"C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\artifacts\phase2a2_ai_review_handoff_packet.zip","artifacts\phase2a2_ai_review_handoff_packet.zip","phase2a2_ai_review_handoff_packet.zip",".zip","12761","2026-05-11T22:29:48","REVIEW","DCSE-CP","Prior staged review/artifact lineage","A2ACC3B2671315033F9B619BFD1E1442F748CAED5C63FD61B6862E57F1E06EAA"
