"sha256","duplicate_count","recommended_keeper","path","classification","lane"
"193C50708AC8F22D0742C3F6CA35D71BDB6A5FD3D0EC5033A8A6528F70A5E4B2","3","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\DCSE v6_7\03_SKILL_REGISTRY.md","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\.ai\skills\SKILL_REGISTRY.md","REVIEW","DCSE-CP"
"193C50708AC8F22D0742C3F6CA35D71BDB6A5FD3D0EC5033A8A6528F70A5E4B2","3","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\DCSE v6_7\03_SKILL_REGISTRY.md","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\artifacts\phase2a_pilot_corpus_for_orchestrator\DCSE_Command_Post_Prime_Layer__03_SKILL_REGISTRY.md","REVIEW","DCSE-CP"
"193C50708AC8F22D0742C3F6CA35D71BDB6A5FD3D0EC5033A8A6528F70A5E4B2","3","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\DCSE v6_7\03_SKILL_REGISTRY.md","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\DCSE v6_7\03_SKILL_REGISTRY.md","ACTIVE","DCSE-CP"
"67F525603CB5F04D238134112135648B5C1C5251C3CFAAE3562009D637E0E1F8","2","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\.ai\TRIGGER_HANDOFF_PROTOCOL.md","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\.ai\TRIGGER_HANDOFF_PROTOCOL.md","REVIEW","DCSE-CP"
"67F525603CB5F04D238134112135648B5C1C5251C3CFAAE3562009D637E0E1F8","2","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\.ai\TRIGGER_HANDOFF_PROTOCOL.md","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\artifacts\phase2a_pilot_corpus_for_orchestrator\.ai__TRIGGER_HANDOFF_PROTOCOL.md","REVIEW","DCSE-CP"
"9490C8FA04EF4E67FCA2FCAE2BE4F240273A9030C63E5E36EA12F43AE4967273","2","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\DCSE v6_7\00_PACKAGE_MANIFEST.md","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\artifacts\phase2a_pilot_corpus_for_orchestrator\DCSE_Command_Post_Prime_Layer__00_PACKAGE_MANIFEST.md","REVIEW","DCSE-CP"
"9490C8FA04EF4E67FCA2FCAE2BE4F240273A9030C63E5E36EA12F43AE4967273","2","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\DCSE v6_7\00_PACKAGE_MANIFEST.md","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\DCSE v6_7\00_PACKAGE_MANIFEST.md","ACTIVE","DCSE-CP"
"659B45212A8F3BA51782931C1A2BE56436B342A07898D56EB715719DC6C1BF70","2","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\project_manifest.json","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\artifacts\phase2a_pilot_corpus_for_orchestrator\project_manifest.json","REVIEW","DCSE-CP"
"659B45212A8F3BA51782931C1A2BE56436B342A07898D56EB715719DC6C1BF70","2","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\project_manifest.json","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\project_manifest.json","ACTIVE","DCSE-CP"
"E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","2","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\service_role_references.csv","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\cloudflared_output.log","SUPPORT","DCSE-CP"
"E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","2","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\service_role_references.csv","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\service_role_references.csv","REVIEW","DCSE-CP"
"9C7FB3A880ACD4762DC72DC814CF5DF2AA0692137E9C3BE4F28588086AA70F80","2","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\Command Post\Attachments\dcse_ddna_extraction_v01.py","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\Command Post\Attachments\dcse_ddna_extraction_v01.py","SUPPORT","DCSE-CP"
"9C7FB3A880ACD4762DC72DC814CF5DF2AA0692137E9C3BE4F28588086AA70F80","2","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\Command Post\Attachments\dcse_ddna_extraction_v01.py","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\dcse_ddna_extraction_v01.py","SUPPORT","DCSE-CP"
"E9B4CCDFE004EACE8A34C559577C6E4D37D1C75EA5CD374710E9F19B40C2D76E","2","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\Command Post\Attachments\DCSE-DDNA-Extraction-Routine-v1-20260515.md","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\Command Post\Attachments\DCSE-DDNA-Extraction-Routine-v1-20260515.md","REVIEW","DCSE-CP"
"E9B4CCDFE004EACE8A34C559577C6E4D37D1C75EA5CD374710E9F19B40C2D76E","2","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\Command Post\Attachments\DCSE-DDNA-Extraction-Routine-v1-20260515.md","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\DCSE-DDNA-Extraction-Routine-v1-20260515.md","REVIEW","DCSE-CP"
"5BE9804CFA1E40A3854EE49DAA4BC6D95C22D014AF7A91FF7F595E3F7A579087","2","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\Command Post\audit\DCSE_ASSET_WRAPUP_EXTRACTION_PLAN_20260523.md","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\Command Post\audit\DCSE_ASSET_WRAPUP_EXTRACTION_PLAN_20260523.md","REVIEW","DCSE-SS/SC"
"5BE9804CFA1E40A3854EE49DAA4BC6D95C22D014AF7A91FF7F595E3F7A579087","2","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\Command Post\audit\DCSE_ASSET_WRAPUP_EXTRACTION_PLAN_20260523.md","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\DCSE_ASSET_WRAPUP_EXTRACTION_PLAN_20260523.md","REVIEW","DCSE-SS/SC"
"9BA63281CF6FB6B97188C7E547444CFDB93179A3056E64A6A2DC27512A55C5A3","2","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\Command Post\docs\ddna\AG_Verification_Receipt_20260521.md","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\Command Post\docs\ddna\AG_Verification_Receipt_20260521.md","ACTIVE","DCSE-CP"
"9BA63281CF6FB6B97188C7E547444CFDB93179A3056E64A6A2DC27512A55C5A3","2","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\Command Post\docs\ddna\AG_Verification_Receipt_20260521.md","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\DCSE_ASSET_PORTAL_APP\docs\ddna\AG_Verification_Receipt_20260521.md","REVIEW","DCSE-SS/SC"
"1101D16181861240CCA7E88B82B418713987A2DFA756CF7CC676CC65F2F58001","2","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\Command Post\docs\ddna\DCSE_AG_Compliance_Audit_20260521.md","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\Command Post\docs\ddna\DCSE_AG_Compliance_Audit_20260521.md","ACTIVE","DCSE-CP"
"1101D16181861240CCA7E88B82B418713987A2DFA756CF7CC676CC65F2F58001","2","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\Command Post\docs\ddna\DCSE_AG_Compliance_Audit_20260521.md","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\DCSE_ASSET_PORTAL_APP\docs\ddna\DCSE_AG_Compliance_Audit_20260521.md","REVIEW","DCSE-SS/SC"
"1803EAD89405D4E7C9B4CD529D979C981F6F91025855E3F6E0E6636440C4DD22","2","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\Command Post\docs\ddna\load_json_source_adapter_spec.md","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\Command Post\docs\ddna\load_json_source_adapter_spec.md","ACTIVE","DCSE-CP"
"1803EAD89405D4E7C9B4CD529D979C981F6F91025855E3F6E0E6636440C4DD22","2","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\Command Post\docs\ddna\load_json_source_adapter_spec.md","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\DCSE_ASSET_PORTAL_APP\docs\ddna\load_json_source_adapter_spec.md","REVIEW","DCSE-SS/SC"
"45E2BC39AA828CD43DF03AD3137FA01D645655E1B262F0B01A3499237B857075","2","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\Command Post\module_assets\staging_review_module_20260523\extracted\DCSE_v68_Staging_Review_Module_Doctrine_v1.md","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\Command Post\module_assets\staging_review_module_20260523\extracted\DCSE_v68_Staging_Review_Module_Doctrine_v1.md","SUPERSEDED","DCSE-SS/SC"
"45E2BC39AA828CD43DF03AD3137FA01D645655E1B262F0B01A3499237B857075","2","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\Command Post\module_assets\staging_review_module_20260523\extracted\DCSE_v68_Staging_Review_Module_Doctrine_v1.md","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\Command Post\module_assets\staging_review_module_20260523\source_files\DCSE_v68_Staging_Review_Module_Doctrine_v1.md","SUPERSEDED","DCSE-SS/SC"
"C6CE1154DFCB7613D320D6C82D952C72C3E29CBD8BAAE8804DCE227ED06BD8F3","2","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\Command Post\module_assets\staging_review_module_20260523\extracted\DCSE_v68_Staging_Review_Module_Technical_Spec_v1.md","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\Command Post\module_assets\staging_review_module_20260523\extracted\DCSE_v68_Staging_Review_Module_Technical_Spec_v1.md","SUPERSEDED","DCSE-SS/SC"
"C6CE1154DFCB7613D320D6C82D952C72C3E29CBD8BAAE8804DCE227ED06BD8F3","2","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\Command Post\module_assets\staging_review_module_20260523\extracted\DCSE_v68_Staging_Review_Module_Technical_Spec_v1.md","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\Command Post\module_assets\staging_review_module_20260523\source_files\DCSE_v68_Staging_Review_Module_Technical_Spec_v1.md","SUPERSEDED","DCSE-SS/SC"
"955B7C2488916CAA40B11FADB17474D2414C9C206C6D3E60B87AB12A44B407D0","2","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\DCS Resume 2026\DCS Resume Draft Enterprise Technical Architect - Consulting V4(1).docx","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\DCS Resume 2026\DCS Resume Draft Enterprise Technical Architect - Consulting V4(1).docx","SUPERSEDED","DCSE-CP"
"955B7C2488916CAA40B11FADB17474D2414C9C206C6D3E60B87AB12A44B407D0","2","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\DCS Resume 2026\DCS Resume Draft Enterprise Technical Architect - Consulting V4(1).docx","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\DCS Resume 2026\DCS_Resume_Draft_Enterprise_Technical_Architect_-_Consulting_V4(1).docx","SUPERSEDED","DCSE-CP"
"18EFB3C17CE68C6DDA84914D21A5E90A2D92734095CF22F80D9DB9C08478AE1F","2","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\DCS Resume 2026\DCS Resume Draft Enterprise Technical Architect - Consulting V4.docx","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\DCS Resume 2026\DCS Resume Draft Enterprise Technical Architect - Consulting V4.docx","REVIEW","DCSE-CP"
"18EFB3C17CE68C6DDA84914D21A5E90A2D92734095CF22F80D9DB9C08478AE1F","2","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\DCS Resume 2026\DCS Resume Draft Enterprise Technical Architect - Consulting V4.docx","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\DCS Resume 2026\DCS_Resume_Draft_Enterprise_Technical_Architect_-_Consulting_V4.docx","REVIEW","DCSE-CP"
"47C2B850B7E7590A2F7F9CB8850DD7E84DF8183B83E47D948E4B72852CAF88EB","2","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\DCSE v6_7\dart_v7.py","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\DCSE v6_7\dart_v7.py","ACTIVE","DCSE-CP"
"47C2B850B7E7590A2F7F9CB8850DD7E84DF8183B83E47D948E4B72852CAF88EB","2","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\DCSE v6_7\dart_v7.py","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\Inbox_From_Downloads\dart_v7.py","REVIEW","DCSE-CP"
"FD193377D6E0FD2FBF7612708D6D1EC0718679903F0080D6010AB867131E5F63","2","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\DCSE_Staging_HTML\DCS_EMPLOYMENT_WORKFLOW_v6_INTERACTIVE.html","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\DCSE_Staging_HTML\DCS_EMPLOYMENT_WORKFLOW_v6_INTERACTIVE.html","REVIEW","DCSE-CP"
"FD193377D6E0FD2FBF7612708D6D1EC0718679903F0080D6010AB867131E5F63","2","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\DCSE_Staging_HTML\DCS_EMPLOYMENT_WORKFLOW_v6_INTERACTIVE.html","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\DCSE_Staging_HTML\SUPPORT_00088_FD193377_DCS_EMPLOYMENT_WORKFLOW_v6_INTERACTIVE.html","REVIEW","DCSE-CP"
"5514DAB6D5D8D395CB4F6BC485A8B8F2C7D077C993DD77FBDBEE6E881B053BAD","3","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\Inbox_From_Downloads\~$w Seals Search.docx","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\Inbox_From_Downloads\~$position_to_Doc_38_Seals_v_DHHS.docx","ARCHIVE","PS"
"5514DAB6D5D8D395CB4F6BC485A8B8F2C7D077C993DD77FBDBEE6E881B053BAD","3","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\Inbox_From_Downloads\~$w Seals Search.docx","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\Inbox_From_Downloads\~$torney_Fact_Sheet_Seals_v_DHHS_Vince.docx","ARCHIVE","PS"
"5514DAB6D5D8D395CB4F6BC485A8B8F2C7D077C993DD77FBDBEE6E881B053BAD","3","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\Inbox_From_Downloads\~$w Seals Search.docx","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\Inbox_From_Downloads\~$w Seals Search.docx","REVIEW","DCSE-CP"
"5798E815C40BD01BF554A9BC35E77F757C71B50B9C2077FD35B9589C51BD568E","2","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\Inbox_From_Downloads\DSeals - Monster Inc 04132026.pdf","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\Inbox_From_Downloads\DSeals - Monster Inc 04132026.pdf","REVIEW","DCSE-CP"
"5798E815C40BD01BF554A9BC35E77F757C71B50B9C2077FD35B9589C51BD568E","2","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\Inbox_From_Downloads\DSeals - Monster Inc 04132026.pdf","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\Inbox_From_Downloads\DSeals - Naveen Kumar Galent 04132026.pdf","REVIEW","DCSE-CP"
"22356555274EAA0DBFE4B0E051651D3A26649F6215491049488925B8B3CD845A","2","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\Inbox_From_Downloads\DSeals Resume 01042023 (2026_01_09 09_32_29 UTC).pdf","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\Inbox_From_Downloads\DSeals Resume 01042023 (2026_01_09 09_32_29 UTC).pdf","REVIEW","DCSE-CP"
"22356555274EAA0DBFE4B0E051651D3A26649F6215491049488925B8B3CD845A","2","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\Inbox_From_Downloads\DSeals Resume 01042023 (2026_01_09 09_32_29 UTC).pdf","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\Inbox_From_Downloads\DSeals Resume 092022.pdf","REVIEW","DCSE-CP"
