"source_path","destination_path","action","gate","rationale"
"C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\artifacts\phase2a_manual_supabase_execution_packet_v2\02_insert_kb_sources.sql","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\SJL-B4Life\06_CANDIDATE_LIBRARY\REVIEW\REVIEW_00042_DCSE_CP_02_insert_kb_sources.sql","PLANNED_COPY_ONLY","DCS approval required before copy execution","Prior staged review/artifact lineage"
"C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\artifacts\phase2a_manual_supabase_execution_packet_v2\03_verify_kb_sources.sql","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\SJL-B4Life\06_CANDIDATE_LIBRARY\REVIEW\REVIEW_00043_DCSE_CP_03_verify_kb_sources.sql","PLANNED_COPY_ONLY","DCS approval required before copy execution","Prior staged review/artifact lineage"
"C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\artifacts\phase2a_manual_supabase_execution_packet_v2\04_schema_collision_report.md","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\SJL-B4Life\06_CANDIDATE_LIBRARY\REVIEW\REVIEW_00044_DCSE_SS_SC_04_schema_collision_report.md","PLANNED_COPY_ONLY","DCS approval required before copy execution","Prior staged review/artifact lineage"
"C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\artifacts\phase2a_manual_supabase_execution_packet_v2\phase2a_manual_execution_packet_v2_manifest.json","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\SJL-B4Life\06_CANDIDATE_LIBRARY\REVIEW\REVIEW_00045_DCSE_CP_phase2a_manual_execution_packet_v2_manifest.json","PLANNED_COPY_ONLY","DCS approval required before copy execution","Prior staged review/artifact lineage"
"C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\artifacts\phase2a_orchestrator_review_summary.md","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\SJL-B4Life\06_CANDIDATE_LIBRARY\REVIEW\REVIEW_00046_DCSE_CP_phase2a_orchestrator_review_summary.md","PLANNED_COPY_ONLY","DCS approval required before copy execution","Prior staged review/artifact lineage"
"C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\artifacts\phase2a_pilot_corpus_for_orchestrator\.ai__handoffs__phase2a_to_dcs.json","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\SJL-B4Life\06_CANDIDATE_LIBRARY\REVIEW\REVIEW_00047_DCSE_CP_ai_handoffs_phase2a_to_dcs.json","PLANNED_COPY_ONLY","DCS approval required before copy execution","Prior staged review/artifact lineage"
"C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\artifacts\phase2a_pilot_corpus_for_orchestrator\.ai__handoffs__phase2a1_to_dcs.json","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\SJL-B4Life\06_CANDIDATE_LIBRARY\REVIEW\REVIEW_00048_DCSE_CP_ai_handoffs_phase2a1_to_dcs.json","PLANNED_COPY_ONLY","DCS approval required before copy execution","Prior staged review/artifact lineage"
"C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\artifacts\phase2a_pilot_corpus_for_orchestrator\.ai__TRIGGER_HANDOFF_PROTOCOL.md","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\SJL-B4Life\06_CANDIDATE_LIBRARY\REVIEW\REVIEW_00049_DCSE_CP_ai_TRIGGER_HANDOFF_PROTOCOL.md","PLANNED_COPY_ONLY","DCS approval required before copy execution","Prior staged review/artifact lineage"
"C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\artifacts\phase2a_pilot_corpus_for_orchestrator\DCSE_Command_Post_Prime_Layer__00_PACKAGE_MANIFEST.md","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\SJL-B4Life\06_CANDIDATE_LIBRARY\REVIEW\REVIEW_00050_DCSE_CP_DCSE_Command_Post_Prime_Layer_00_PACKAGE_MANIFEST.md","PLANNED_COPY_ONLY","DCS approval required before copy execution","Prior staged review/artifact lineage"
"C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\artifacts\phase2a_pilot_corpus_for_orchestrator\DCSE_Command_Post_Prime_Layer__01_DCSE_v6_7_X_MASTER_ADDENDUM.md","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\SJL-B4Life\06_CANDIDATE_LIBRARY\REVIEW\REVIEW_00051_DCSE_CP_DCSE_Command_Post_Prime_Layer_01_DCSE_v6_7_X_MASTER_ADDENDUM.md","PLANNED_COPY_ONLY","DCS approval required before copy execution","Prior staged review/artifact lineage"
"C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\artifacts\phase2a_pilot_corpus_for_orchestrator\DCSE_Command_Post_Prime_Layer__02_MODEL_CONFIGURATION_GUIDE.md","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\SJL-B4Life\06_CANDIDATE_LIBRARY\REVIEW\REVIEW_00052_DCSE_CP_DCSE_Command_Post_Prime_Layer_02_MODEL_CONFIGURATION_GUIDE.md","PLANNED_COPY_ONLY","DCS approval required before copy execution","Prior staged review/artifact lineage"
"C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\artifacts\phase2a_pilot_corpus_for_orchestrator\DCSE_Command_Post_Prime_Layer__03_SKILL_REGISTRY.md","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\SJL-B4Life\06_CANDIDATE_LIBRARY\REVIEW\REVIEW_00053_DCSE_CP_DCSE_Command_Post_Prime_Layer_03_SKILL_REGISTRY.md","PLANNED_COPY_ONLY","DCS approval required before copy execution","Prior staged review/artifact lineage"
"C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\artifacts\phase2a_pilot_corpus_for_orchestrator\docs__audit__Phase2A_Vector_Test_Report.md","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\SJL-B4Life\06_CANDIDATE_LIBRARY\REVIEW\REVIEW_00054_DCSE_CP_docs_audit_Phase2A_Vector_Test_Report.md","PLANNED_COPY_ONLY","DCS approval required before copy execution","Prior staged review/artifact lineage"
"C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\artifacts\phase2a_pilot_corpus_for_orchestrator\phase2a_pilot_corpus_export_report.json","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\SJL-B4Life\06_CANDIDATE_LIBRARY\REVIEW\REVIEW_00055_DCSE_CP_phase2a_pilot_corpus_export_report.json","PLANNED_COPY_ONLY","DCS approval required before copy execution","Prior staged review/artifact lineage"
"C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\artifacts\phase2a_pilot_corpus_for_orchestrator\project_manifest.json","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\SJL-B4Life\06_CANDIDATE_LIBRARY\REVIEW\REVIEW_00056_DCSE_CP_project_manifest.json","PLANNED_COPY_ONLY","DCS approval required before copy execution","Prior staged review/artifact lineage"
"C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\artifacts\phase2a_pilot_corpus_for_orchestrator\vector-memory__phase2a_test_corpus_manifest.json","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\SJL-B4Life\06_CANDIDATE_LIBRARY\REVIEW\REVIEW_00057_DCSE_CP_vector_memory_phase2a_test_corpus_manifest.json","PLANNED_COPY_ONLY","DCS approval required before copy execution","Prior staged review/artifact lineage"
"C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\artifacts\phase2a1_closeout\phase2a1_next_phase_recommendation.md","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\SJL-B4Life\06_CANDIDATE_LIBRARY\REVIEW\REVIEW_00058_DCSE_CP_phase2a1_next_phase_recommendation.md","PLANNED_COPY_ONLY","DCS approval required before copy execution","Prior staged review/artifact lineage"
"C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\artifacts\phase2a1_closeout\phase2a1_source_registry_completion_report.json","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\SJL-B4Life\06_CANDIDATE_LIBRARY\REVIEW\REVIEW_00059_DCSE_CP_phase2a1_source_registry_completion_report.json","PLANNED_COPY_ONLY","DCS approval required before copy execution","Prior staged review/artifact lineage"
"C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\artifacts\phase2a1_closeout\phase2a1_source_registry_completion_report.md","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\SJL-B4Life\06_CANDIDATE_LIBRARY\REVIEW\REVIEW_00060_DCSE_CP_phase2a1_source_registry_completion_report.md","PLANNED_COPY_ONLY","DCS approval required before copy execution","Prior staged review/artifact lineage"
"C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\artifacts\phase2a2_ai_review_handoff_manifest.json","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\SJL-B4Life\06_CANDIDATE_LIBRARY\REVIEW\REVIEW_00061_DCSE_CP_phase2a2_ai_review_handoff_manifest.json","PLANNED_COPY_ONLY","DCS approval required before copy execution","Prior staged review/artifact lineage"
"C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\artifacts\phase2a2_ai_review_handoff_manifest_v3.json","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\SJL-B4Life\06_CANDIDATE_LIBRARY\REVIEW\REVIEW_00062_DCSE_CP_phase2a2_ai_review_handoff_manifest_v3.json","PLANNED_COPY_ONLY","DCS approval required before copy execution","Prior staged review/artifact lineage"
"C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\artifacts\phase2a2_ai_review_packet\phase2a2_ai_review_brief.md","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\SJL-B4Life\06_CANDIDATE_LIBRARY\REVIEW\REVIEW_00063_DCSE_CP_phase2a2_ai_review_brief.md","PLANNED_COPY_ONLY","DCS approval required before copy execution","Prior staged review/artifact lineage"
"C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\artifacts\phase2a2_ai_review_packet\phase2a2_dcs_decision_memo.md","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\SJL-B4Life\06_CANDIDATE_LIBRARY\REVIEW\REVIEW_00064_DCSE_CP_phase2a2_dcs_decision_memo.md","PLANNED_COPY_ONLY","DCS approval required before copy execution","Prior staged review/artifact lineage"
"C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\artifacts\phase2a2_ai_review_packet\phase2a2_dcs_decision_memo_template.md","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\SJL-B4Life\06_CANDIDATE_LIBRARY\REVIEW\REVIEW_00065_DCSE_CP_phase2a2_dcs_decision_memo_template.md","PLANNED_COPY_ONLY","DCS approval required before copy execution","Prior staged review/artifact lineage"
"C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\artifacts\phase2a2_ai_review_packet\phase2a2_gemini_auditor_prompt.md","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\SJL-B4Life\06_CANDIDATE_LIBRARY\REVIEW\REVIEW_00066_DCSE_CP_phase2a2_gemini_auditor_prompt.md","PLANNED_COPY_ONLY","DCS approval required before copy execution","Prior staged review/artifact lineage"
"C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\artifacts\phase2a2_ai_review_packet\phase2a2_gemini_auditor_report.md","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\SJL-B4Life\06_CANDIDATE_LIBRARY\REVIEW\REVIEW_00067_DCSE_CP_phase2a2_gemini_auditor_report.md","PLANNED_COPY_ONLY","DCS approval required before copy execution","Prior staged review/artifact lineage"
"C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\artifacts\phase2a2_ai_review_packet\phase2a2_orchestrator_review_checklist.md","C:\DS All Things\DCSE_Command_Center\DCSE_CP_Project\SJL-B4Life\06_CANDIDATE_LIBRARY\REVIEW\REVIEW_00068_DCSE_CP_phase2a2_orchestrator_review_checklist.md","PLANNED_COPY_ONLY","DCS approval required before copy execution","Prior staged review/artifact lineage"
